,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.10430977352351589,0.17068905825757885,0.004270895151509361,0.1
1,Fairness,0.047091692226008064,0.09816147982250645,0.002642576819424057,0.3
2,Loyalty,0.20899421325472134,0.27762129036343686,0.005324046043937524,0.01
3,Authority,0.1524685887221896,0.19798485681943945,0.006345073113767106,0.01
4,Purity,0.21088007833148104,0.3117911967402226,0.0040557041306645315,0.01
5,Care,0.08418107434358502,0.19127377110173083,0.0014504509562442102,0.5
6,Fairness,0.003235170334151438,0.10181756100886818,0.005931399836848908,0.1
7,Loyalty,0.163221824232477,0.30282622140923765,0.0029505752216227037,0.1
8,Authority,0.09441855806106947,0.216081829408451,0.006564143178687263,0.01
9,Purity,0.19485229863811115,0.3154127059696219,0.003217360792116046,0.1
10,Care,0.0994661029028403,0.17394005929370815,0.0074669948785396015,0.01
11,Fairness,0.018547575892375878,0.09717859851425026,0.0059494004217379845,0.1
12,Loyalty,0.19080236485324054,0.26684846242547255,0.0012502927028746342,0.9
13,Authority,0.15353817656166835,0.19738515399238865,0.007072927780695986,0.01
14,Purity,0.24919653385165974,0.30018287561579926,0.004683260025072737,0.01
15,Care,0.07733139044764781,0.18551995293363988,0.007062988172627545,0.01
16,Fairness,0.04494494606060584,0.09195544687096957,0.002783524583372778,0.3
17,Loyalty,0.16265321657179577,0.2807386731035867,0.0038131293728501958,0.1
18,Authority,0.09740498744276227,0.2099138030264701,0.007344430705475733,0.01
19,Purity,0.20172371918636323,0.30601129926609094,0.0012902669380812169,0.9
20,Care,0.0822020074304225,0.18592259159071978,0.0038325142576879265,0.1
21,Fairness,0.056015900051541334,0.08836574849410839,0.012928750964893944,0.01
22,Loyalty,0.1746585937763937,0.3022099101540514,0.004140334445862818,0.01
23,Authority,0.06530991577455747,0.21648920348155076,0.0070018218948098634,0.01
24,Purity,0.16335505555586904,0.3227504107247643,0.003112294884437205,0.1
25,Care,0.09048016966296868,0.17508312455522812,0.00792673499641493,0.01
26,Fairness,0.03951055923776092,0.08181616633235811,0.001393987001983993,0.9
27,Loyalty,0.20047379197795234,0.28612642542653444,0.0033306937936619803,0.1
28,Authority,0.13076423170271922,0.21349017939956516,0.00351573135315157,0.1
29,Purity,0.22506117512350465,0.3084061510271199,0.004334177722657332,0.01
