,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.05580313789914049,0.09963906272833101,0.03751653001124888,0.01
1,Fairness,0.013548977708432886,0.06275533864166083,0.049921527806589,0.01
2,Loyalty,0.0922389996022277,0.2591756113184073,0.007362304020919385,0.1
3,Authority,0.09731887765368985,0.15584230037080415,0.012260040747615048,0.1
4,Purity,0.1028062931796877,0.26465729044215647,0.007920716545245943,0.1
5,Care,0.03074327118174025,0.11278293806700646,0.03427639012752179,0.01
6,Fairness,0.021811383867531564,0.06561037661480851,0.047751758804469115,0.01
7,Loyalty,0.18693685474870525,0.2212019527079172,0.008932775946411193,0.1
8,Authority,0.12794958393172218,0.14284286086519415,0.012801293223558568,0.1
9,Purity,0.17305313260912125,0.22698240537059122,0.019974843577559284,0.01
10,Care,0.012169043834731275,0.12863119235111664,0.027869842416963442,0.01
11,Fairness,0.0038115589655175475,0.07925363422350684,0.036968057844339576,0.01
12,Loyalty,0.1486026064211906,0.24768354314345276,0.00741137389142776,0.1
13,Authority,0.08448149998918786,0.1717089734626901,0.02447745378078841,0.01
14,Purity,0.1747399773584175,0.24663461168675171,0.01440262173333515,0.01
15,Care,0.051813228663978084,0.103324821885315,0.038746866132119744,0.01
16,Fairness,0.03299439048697683,0.0753628726188097,0.01165235165186478,0.1
17,Loyalty,0.14749139763595176,0.22655464078657916,0.009415107835522525,0.1
18,Authority,0.06714731829083131,0.155059518422637,0.03474818597312639,0.01
19,Purity,0.1393176174656977,0.22061955940455946,0.006541561374828712,0.3
20,Care,0.06530947282898458,0.10606231367323504,0.03387162514690811,0.01
21,Fairness,0.025160595329635216,0.062350087310453106,0.05192107377711566,0.01
22,Loyalty,0.14171755473280756,0.23013080964762833,0.018303793529282627,0.01
23,Authority,0.08181012416373223,0.15212732160607156,0.03462803624124826,0.01
24,Purity,0.1638646436490464,0.21992618342073456,0.012139714506356706,0.1
25,Care,0.06875610229974471,0.09402329426837941,0.0395677468579699,0.01
26,Fairness,-0.009708490339755738,0.08612937376931895,0.035055851081035184,0.01
