,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.07162328418402852,0.14977168922333306,0.0003273267757506102,0.99
1,Fairness,0.010711577179446374,0.09776688087292507,0.0003082362383481889,0.99
2,Loyalty,0.18216842835868563,0.23769289620598077,0.00034629909435586703,0.3
3,Authority,0.12851462115862688,0.1440183899179075,0.0004575394540073564,0.5
4,Purity,0.18178847098524087,0.2565618264335944,0.0003956858007215209,0.1
5,Care,0.07729809478115746,0.13364288512114886,0.00040395633825889357,0.7
6,Fairness,-0.00035209660382595764,0.08161737413763193,0.0011200696338266077,0.01
7,Loyalty,0.1414738087834595,0.25341169950339937,0.0003338907619716807,0.1
8,Authority,0.08366659143171817,0.17547888081084317,0.00037932381235958025,0.7
9,Purity,0.14813825866812824,0.2623773356683675,0.0004220056945421509,0.7
10,Care,0.06506597865548214,0.13132270082128816,0.0003917781431172639,0.9
11,Fairness,-0.010118676614040867,0.09005029346334159,0.00039404031558945747,0.9
12,Loyalty,0.14553536762271113,0.26506980972513505,0.0002671384465386079,0.1
13,Authority,0.07522301201164427,0.18121357830838003,0.00037598392109146426,0.3
14,Purity,0.1780353148242203,0.28017164024841057,0.00024308834267517575,0.3
15,Care,0.05107534621582499,0.1369607013642189,0.000775547706634289,0.1
16,Fairness,0.022817509407393577,0.0669876005819755,0.0015216778731174348,0.01
17,Loyalty,0.13644518162451014,0.24006261271461948,0.00042546040459033303,0.1
18,Authority,0.08166234499080305,0.16364698127927046,0.0004360754650972867,0.7
19,Purity,0.1656479587174181,0.2597204428969616,0.0003952647259590408,0.5
20,Care,0.038038019262588874,0.1283050924637129,0.0006873845737451904,0.3
21,Fairness,0.014452791704956724,0.05439344687918879,0.002170973692085061,0.01
22,Loyalty,0.15370973493295237,0.2580338125443622,0.00027799890882734975,0.1
23,Authority,0.06461617771099826,0.17813400721208106,0.00038393915539762947,0.7
24,Purity,0.15666139738368912,0.28002167307176007,0.00026964494775766844,0.3
25,Care,0.03910927594984315,0.1242253636167272,0.0004747481321758354,0.99
26,Fairness,0.013678032285639574,0.042937844588394,0.0007289572365840033,0.99
27,Loyalty,0.1554658066261091,0.2512748957354055,0.0003164249943566872,0.3
28,Authority,0.12225757784475344,0.16569179910626408,0.0003516955275605108,0.7
29,Purity,0.1928575199372775,0.2599285782573284,0.0003719616989883853,0.1
30,Care,0.07306318793217736,0.14899072727714813,0.00031502181871589685,0.99
31,Fairness,0.012697749894875154,0.05499280585292121,0.0006207359864527655,0.99
