,foundation,test_r2,train_r2,alpha,l1_ratio
123,Authority,0.0399026499570474,0.037938137086703905,1.7408354708053555e-05,0.99
124,Purity,0.10627688485897657,0.10968715211041402,2.564732465705429e-06,0.7
125,Care,0.02870448999709807,0.032113565150119316,0.00010729800844222516,0.99
126,Fairness,0.013171426591194524,0.01650505145029202,8.062403112252804e-07,0.3
127,Loyalty,0.05300385145216224,0.05640241272575952,3.679920237970705e-05,0.99
128,Authority,0.04053276633699676,0.03780090201254982,1.4119034374275612e-05,0.99
129,Purity,0.10731297127361472,0.10573919799701548,6.692165098361823e-05,0.99
130,Care,0.038925718784049046,0.03993404388833954,1.2383629641895638e-06,0.7
131,Fairness,-0.006612409004830511,0.02064707479288952,9.980889417717368e-07,0.3
132,Loyalty,0.03978963394860635,0.05663935305341594,2.9941704398865083e-05,0.99
133,Authority,0.03389611014217275,0.034732860165060164,2.543433640002951e-05,0.9
134,Purity,0.09183953922086385,0.10995696640322161,9.824735815900334e-06,0.99
135,Care,0.03148010007640056,0.03869622099243131,1.4408875031891704e-05,0.99
136,Fairness,-0.005054940134976205,0.022172735871776705,5.801655973596985e-07,0.7
137,Loyalty,0.06987041792432791,0.050754385311807315,3.305186259569721e-05,0.99
138,Authority,0.05189418325886441,0.031234902341042314,2.4525682291064558e-05,0.99
139,Purity,0.11218696682277551,0.10522611146529326,4.8938560035986124e-05,0.99
140,Care,0.027356268747364076,0.03731078469307225,2.9039970913432156e-05,0.99
141,Fairness,0.011764667819530228,0.015128847163497383,5.102109553354029e-06,0.99
142,Loyalty,0.0348407790135169,0.06216016753029796,3.073571073862797e-06,0.5
143,Authority,0.0003577417518356718,0.04481679654513138,3.736329705845714e-05,0.99
144,Purity,0.09967757051090909,0.11030284560241965,2.2197891088549748e-05,0.99
145,Care,0.011981542973894976,0.04370289321724674,2.1270380200532273e-05,0.99
146,Fairness,0.012434214640891006,0.010577195560401598,6.372101399078522e-06,0.1
147,Loyalty,0.037362341666388854,0.06066526958964358,3.535938695018334e-06,0.3
148,Authority,9.829824592777481e-05,0.04622271306700454,1.2437777415948843e-06,0.7
149,Purity,0.08502665296783884,0.11317133364142362,1.2056872516216467e-05,0.9
150,Care,0.010899641058881304,0.046096331313783434,1.016030968698494e-05,0.99
151,Fairness,0.0011561518513228952,0.0196334071426314,7.561982321523417e-07,0.3
152,Loyalty,0.05770728788276025,0.055377029710219405,3.330651117999472e-05,0.99
153,Authority,0.03940478939473668,0.036104242987712976,3.067989814988828e-05,0.99
154,Purity,0.10939837096661686,0.10638407889192913,5.485536371363009e-05,0.99
155,Care,0.03365156144558912,0.037682699352052706,2.581822066101916e-05,0.99
156,Fairness,-0.005329473297732035,0.020156615678875944,5.221921145429643e-07,0.5
157,Loyalty,0.026501300762252877,0.06426460964126512,1.1253374296501576e-05,0.9
158,Authority,0.02041452608780636,0.04211060714637904,2.422510202502469e-05,0.99
159,Purity,0.05617955245007267,0.11990696147503188,5.027186890632641e-05,0.99
160,Care,0.031185385137070698,0.039586339145782246,1.7285595787010172e-05,0.99
161,Fairness,0.004804862718591041,0.013870567907330766,3.975490252837672e-06,0.1
162,Loyalty,0.06335546107703394,0.05275885469931829,2.1498161020792572e-05,0.9
163,Authority,0.028714582454482107,0.03806668786317979,3.6303641357580623e-06,0.3
164,Purity,0.12647020606289716,0.10129908904264895,5.435287067470052e-05,0.99
165,Care,0.03941470188335294,0.03850216756059366,1.2434344323634837e-05,0.99
166,Fairness,0.009295544598764915,0.017095614418925154,6.321891034511196e-06,0.99
167,Loyalty,0.041377766472756594,0.059025886352978896,2.322454029503149e-06,0.5
168,Authority,0.02383935463955822,0.03898870052772718,2.734975746567552e-05,0.99
169,Purity,0.10424516968756092,0.1098220909835379,2.641260059069254e-06,0.7
170,Care,0.02958558155182356,0.03192910572500085,0.00010694921431034391,0.99
171,Fairness,0.01724468076184482,0.01525321985477146,7.688777702438131e-07,0.5
172,Loyalty,0.05592857750040159,0.05518526511354582,3.660440279169545e-05,0.99
173,Authority,0.030647253212107484,0.04133514196635635,5.0967444141169e-06,0.99
174,Purity,0.11467056287383326,0.10676126534521102,1.3907840480771686e-05,0.99
175,Care,0.03438685985420897,0.038557538794336765,1.445838578396526e-05,0.99
176,Fairness,0.017551441897280973,0.016115518546348406,5.090760140043334e-06,0.99
177,Loyalty,0.058755174389554576,0.05115918295174782,8.059789277685288e-05,0.99
178,Authority,0.04204989988126684,0.03427680236380781,3.7029706700153855e-05,0.99
179,Purity,0.10259641715788737,0.10734955026711934,6.4955842765965e-05,0.99
180,Care,0.03758296578970244,0.039220730388074276,1.2895530542526936e-05,0.99
181,Fairness,-0.0008371247673157889,0.019943797871602054,6.879088380195121e-07,0.5
182,Loyalty,0.028921935489856443,0.060913630271010155,3.1192690996576895e-05,0.99
183,Authority,0.02670229857595907,0.039812270978364706,2.0549215195942215e-05,0.99
184,Purity,0.060527318061826874,0.11860075862641284,2.148242111761385e-06,0.9
185,Care,0.03532734082542277,0.03790693312561866,1.9458141803017986e-05,0.99
186,Fairness,0.015445377272429783,0.01684028014975214,6.124057712766966e-07,0.5
187,Loyalty,0.05088272784008152,0.05829419303437178,8.501942966442498e-06,0.9
188,Authority,0.012247306023971505,0.04409487224663833,1.2507281033616514e-05,0.9
189,Purity,0.10544067096913134,0.10385020925219568,4.26367650552093e-05,0.99
190,Care,0.022644601657116237,0.03910883428541767,2.5937678134152567e-05,0.99
191,Fairness,0.017760101149067897,0.013458886600939413,1.21330166748987e-06,0.3
192,Loyalty,0.05363807950997301,0.05476557337988719,4.645204011445251e-05,0.99
193,Authority,0.023087791342474406,0.037932234748318194,3.6508547757860056e-05,0.99
194,Purity,0.08753505863141609,0.10993905765799283,6.610329240784377e-05,0.99
195,Care,0.016277013667667095,0.04539363883682901,7.709004717735836e-06,0.99
196,Fairness,-0.003807545298107229,0.021055948577005656,5.353776597677115e-07,0.5
197,Loyalty,0.02961816511227222,0.06408861312244263,5.324358926732074e-06,0.99
198,Authority,0.0237384798243111,0.04210399699293321,5.200038046681972e-06,0.99
199,Purity,0.12122549002414451,0.10482428659330034,3.353106111389272e-05,0.99
200,Care,0.020936928536901656,0.03977135037237356,3.0899835914567054e-05,0.99
201,Fairness,0.0017110019752678562,0.015484679677987279,3.5094971980350085e-06,0.1
202,Loyalty,0.032289128293990554,0.0618203851373158,9.687533543228132e-06,0.9
203,Authority,0.018116701188524043,0.042022787071156587,2.4682774649306878e-05,0.99
204,Purity,0.04231170237408166,0.12232999712731674,5.152034088711848e-06,0.9
205,Care,0.014460631169720517,0.03644898529165186,0.00013260417274632075,0.99
206,Fairness,0.0073995779908940795,0.019570306397882486,4.870504955592033e-07,0.7
207,Loyalty,0.05478858108522222,0.056383229114227884,3.2838817354170226e-05,0.99
208,Authority,0.03758924215486037,0.036788190653848085,3.304222610819919e-05,0.99
209,Purity,0.1361275984663458,0.09837830887408194,6.684384321543644e-05,0.99
210,Care,0.048050670491684655,0.02595884316322339,9.761241201303743e-05,0.99
211,Fairness,0.017698577896492207,0.014953696725393484,8.051938328027204e-07,0.3
212,Loyalty,0.0423895294509653,0.057227007622513315,4.056132882040849e-05,0.99
213,Authority,0.028349152843565872,0.03388828323682336,7.325688497377561e-05,0.99
214,Purity,0.10886238460550701,0.10604402662839885,5.3353384255301e-05,0.99
215,Care,0.019539352295792733,0.035270048266501486,8.505352234115695e-05,0.99
216,Fairness,0.010946434500737068,0.01646878112348149,8.554912262129613e-07,0.3
217,Loyalty,0.050447825801966384,0.056889271159029864,3.530922205609018e-06,0.3
218,Authority,0.0324162611245814,0.03744424577201977,3.337547550419001e-05,0.99
219,Purity,0.10357107924900122,0.1099658830760073,2.795472481122176e-06,0.7
220,Care,0.029265276293021003,0.040455933376739694,1.168631270231302e-06,0.7
221,Fairness,-0.0006656570872412004,0.019916380252513077,4.775049050228682e-06,0.99
222,Loyalty,0.046145760242461864,0.05702832224382526,3.901252123796277e-06,0.3
223,Authority,0.028265398954267162,0.03862518840378126,3.2315582599087346e-05,0.99
224,Purity,0.09766835790429185,0.10889628169150178,5.790449290415995e-05,0.99
