Foundation,R2,Representation,DocThreshold,Aggregation
Care,0.0371160152288077,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001572652370556371,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.059048950633958874,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.052708361478816516,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08806211851242017,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03418091840060267,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-3.442997372953282e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.046889268011092944,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.01816604296584079,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07018389115426737,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03299374234572816,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0031661598021950343,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.07127278738149134,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.048417239855236605,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.10675869554903884,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03409711532080828,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,8.442270352529978e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.03515539463599016,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03635193893023159,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.05901421811759122,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.023437422816178662,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.01135041448889762,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04271556981581315,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.007736684782719161,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.059344163958190976,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.015327169299954813,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-3.4720144654110113e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06236188476544303,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.044468101200559,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07881446209820643,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.039400983808060334,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001477905895166054,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04779424303004731,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04225674341081154,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07351295513775924,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.0353889905169793,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-8.942900431132551e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06778491050597935,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04318427549066828,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09393326572475047,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.05101627436226597,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,2.4100436525209545e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04007388071983553,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.017144721797187512,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06301964510620706,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.02383231205658498,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0037117123990044734,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.062376064186396185,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.046598572974788983,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09083733446838482,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.010994775508054166,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001981594986867563,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.059395251082801186,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05036076270298085,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06617228691336663,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.0491685989342836,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.00292544976888498,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.0710865871378491,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03416431197441805,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08501595152283348,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03289598871429589,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0010251492737609613,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.011252189529853962,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.00512005352215794,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.024682486706482883,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.035981168107628414,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0015584373394064155,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05061638152709769,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05298612444237005,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08353227429863908,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.040935610286426886,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002445135110885177,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06586273355933381,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03299386843608365,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.11520579271896092,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04727093352752443,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002107577630319657,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.029898364724770362,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03985092526334722,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.06736061308406605,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.023219186125286728,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.008946422881989323,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06172266594479781,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.02128256457779609,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08089499303727099,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03429368766493568,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-7.491380997026732e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.03737630098647782,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.020250006026121148,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.03788064009878833,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03886029074592101,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.004639900001254249,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.08462724802723763,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0604468378470665,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09501866502256906,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.015437710601923673,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0078119854112215234,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.058343854356714415,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03939979197468546,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.1040718995260228,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.026636607820014868,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0021051111661596345,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.09081876628478358,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0616350110655961,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08973356226412066,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.028253784450228307,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,3.448377899556432e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.02686060597175266,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.025382165258067024,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.038815048252209716,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.030499521853943563,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0022382640015627953,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.019547675481292104,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.030829142160261887,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.056703883257300136,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.057332203371000874,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0017291876263247907,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06182232460792302,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.00609890540006186,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.1147101380590012,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.014409361121815125,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0020021497846376413,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05363236503061286,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03749128714239991,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08401001937575259,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.024101936719351125,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-9.092208515364408e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04718901393907027,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.02319996747280495,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.04508168414571823,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.040055353399792604,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.002684924006006395,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.032139207862061585,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0400082817347065,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.086553342908397,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.016109435203911504,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.001072675644289367,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.0770666722902511,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.05028694570104264,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07829990841576563,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.035087726816721336,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.003964560849635257,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05882942698906246,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0276370757126273,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08567272542096904,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04525125381198003,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-4.3863688843392984e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.05162141472960002,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.042964852298619786,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08579514748920912,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,-6.414966880343709e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.003409853479483305,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.058241311846898965,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04348324526664804,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08867599552940131,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.041020373120614566,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.003874405268088799,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.08216206177999119,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.06373564449017499,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.1063874462521871,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.033351487569148734,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0021803660040464745,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.015941556026403347,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,-0.017827830043145587,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.03902584590702873,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.02889433155149823,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.004347925561217325,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06628896463534151,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04059139907723941,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07799707468012296,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.05423214774604135,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0011034590271501443,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04167614651198026,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04511403973459482,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.0686884959243762,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.03531321895406425,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-6.014512327034982e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.07473470614279942,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04930195959386263,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08237576078844078,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04344399821013778,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0017303002649302626,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04059666537432605,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.0027836083186063565,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.05882897178787828,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,-0.0021237145779939848,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,6.008501619960692e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.033499585530441744,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03821867301128423,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08182575701634875,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.028828767685046493,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.002742810209082513,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.062172031434924675,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04077268796649314,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.059861199505492964,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.05374087775412506,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0022897859484047878,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04597051616933357,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03848024273675954,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09301028731361538,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.012862753686077366,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0021630747148444485,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.0811068132192091,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04701947380899985,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09739447086570853,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.024787449907585968,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0017963375601818266,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.045035559813994534,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.034762980043234866,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.048776232558319865,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.041955221594819125,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-3.013291431457344e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.020587297784162902,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.009643914127969609,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.062327093741213035,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.020278634109960336,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.0016872783788999255,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.08617208374461882,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.051642486259420466,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09333366377838703,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.05323667479443328,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-4.243649861757071e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.037686999754531485,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04159601916917244,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08572859111941099,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.028586296978564633,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0017022896070241213,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.062002870801474826,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.045474956936103365,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.08424538937079584,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04773301722607737,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.011527043224275335,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.06729947151969372,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.03527631161455158,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09124639317206906,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,2.4170620688901406e-4,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,-0.004405029112127812,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.03548061070457964,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.020813493115288132,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.041769808499136814,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.04996026104029794,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.0013426982531280494,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.058949622473490886,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.04759963636949716,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.09044914576080564,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.032107600508402216,MFD2.DDR,NumberPosts>=10,MIL (mean)
Fairness,0.001259274276532718,MFD2.DDR,NumberPosts>=10,MIL (mean)
Authority,0.04024059753442988,MFD2.DDR,NumberPosts>=10,MIL (mean)
Loyalty,0.013625548823958169,MFD2.DDR,NumberPosts>=10,MIL (mean)
Purity,0.07468200378786416,MFD2.DDR,NumberPosts>=10,MIL (mean)
Care,0.10430977352351588,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.047091692226008064,BERT,NumberPosts>=10,MIL (mean)
Authority,0.2089942132547213,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.1524685887221896,BERT,NumberPosts>=10,MIL (mean)
Purity,0.21088007833148106,BERT,NumberPosts>=10,MIL (mean)
Care,0.08418107434358503,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.0032351703341514377,BERT,NumberPosts>=10,MIL (mean)
Authority,0.163221824232477,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.09441855806106947,BERT,NumberPosts>=10,MIL (mean)
Purity,0.19485229863811115,BERT,NumberPosts>=10,MIL (mean)
Care,0.0994661029028403,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.01854757589237588,BERT,NumberPosts>=10,MIL (mean)
Authority,0.19080236485324054,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.15353817656166835,BERT,NumberPosts>=10,MIL (mean)
Purity,0.2491965338516597,BERT,NumberPosts>=10,MIL (mean)
Care,0.07733139044764781,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.04494494606060584,BERT,NumberPosts>=10,MIL (mean)
Authority,0.16265321657179574,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.09740498744276227,BERT,NumberPosts>=10,MIL (mean)
Purity,0.20172371918636325,BERT,NumberPosts>=10,MIL (mean)
Care,0.0822020074304225,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.05601590005154133,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1746585937763937,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.06530991577455747,BERT,NumberPosts>=10,MIL (mean)
Purity,0.16335505555586904,BERT,NumberPosts>=10,MIL (mean)
Care,0.09048016966296868,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.039510559237760916,BERT,NumberPosts>=10,MIL (mean)
Authority,0.20047379197795234,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.13076423170271922,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22506117512350465,BERT,NumberPosts>=10,MIL (mean)
Care,0.07708596279936764,BERT,NumberPosts>=10,MIL (mean)
Fairness,-0.0031759986416686203,BERT,NumberPosts>=10,MIL (mean)
Authority,0.15216024624261415,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.1070950711275046,BERT,NumberPosts>=10,MIL (mean)
Purity,0.1678036188185058,BERT,NumberPosts>=10,MIL (mean)
Care,0.0936319523322896,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.032316307224350416,BERT,NumberPosts>=10,MIL (mean)
Authority,0.2294068362106738,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.16159933733896406,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22752491527811525,BERT,NumberPosts>=10,MIL (mean)
Care,0.1232190213047093,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.07072638338373716,BERT,NumberPosts>=10,MIL (mean)
Authority,0.19922184226298667,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.10246716669297352,BERT,NumberPosts>=10,MIL (mean)
Purity,0.2057013576831318,BERT,NumberPosts>=10,MIL (mean)
Care,0.08397309718609358,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.02223477903045268,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1725330667762026,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.10184726260599997,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22277525676149834,BERT,NumberPosts>=10,MIL (mean)
Care,0.026207069914864656,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.036149026549480164,BERT,NumberPosts>=10,MIL (mean)
Authority,0.21879804398583325,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.14523217878622666,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22122562798067055,BERT,NumberPosts>=10,MIL (mean)
Care,0.11964265959054575,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.05408065586504674,BERT,NumberPosts>=10,MIL (mean)
Authority,0.19338245194393575,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.14598164664086344,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22158657763847234,BERT,NumberPosts>=10,MIL (mean)
Care,0.09875301958248972,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.02602212836428464,BERT,NumberPosts>=10,MIL (mean)
Authority,0.17086042135357993,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.08297701881394881,BERT,NumberPosts>=10,MIL (mean)
Purity,0.17060316727225844,BERT,NumberPosts>=10,MIL (mean)
Care,0.10616378515074998,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.03805851262158855,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1585501100390394,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.09495063516168778,BERT,NumberPosts>=10,MIL (mean)
Purity,0.19692842860654025,BERT,NumberPosts>=10,MIL (mean)
Care,0.07688382394492199,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.01872579748774683,BERT,NumberPosts>=10,MIL (mean)
Authority,0.2098049086021686,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.11819631241113206,BERT,NumberPosts>=10,MIL (mean)
Purity,0.2491511911513863,BERT,NumberPosts>=10,MIL (mean)
Care,0.08635348632192574,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.033903928735284805,BERT,NumberPosts>=10,MIL (mean)
Authority,0.18419489203175465,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.1319258711201553,BERT,NumberPosts>=10,MIL (mean)
Purity,0.2061963198473572,BERT,NumberPosts>=10,MIL (mean)
Care,0.08231412713861841,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.026441416703021248,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1975736575069318,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.11252109854642156,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22797846541980826,BERT,NumberPosts>=10,MIL (mean)
Care,0.07937160710956548,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.01671248210414633,BERT,NumberPosts>=10,MIL (mean)
Authority,0.20442756367802886,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.09816056340571198,BERT,NumberPosts>=10,MIL (mean)
Purity,0.14914196751676956,BERT,NumberPosts>=10,MIL (mean)
Care,0.12051980122218207,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.0022651242985690656,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1755468326778581,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.11593017224377665,BERT,NumberPosts>=10,MIL (mean)
Purity,0.22088139936918216,BERT,NumberPosts>=10,MIL (mean)
Care,0.07391899358660214,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.05376283963755735,BERT,NumberPosts>=10,MIL (mean)
Authority,0.1928651413430472,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.127498865143844,BERT,NumberPosts>=10,MIL (mean)
Purity,0.24050933016969175,BERT,NumberPosts>=10,MIL (mean)
Care,0.0996037480061822,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.04788077150776682,BERT,NumberPosts>=10,MIL (mean)
Authority,0.23032813603294544,BERT,NumberPosts>=10,MIL (mean)
Loyalty,0.13974481907641612,BERT,NumberPosts>=10,MIL (mean)
Purity,0.21198298010332628,BERT,NumberPosts>=10,MIL (mean)
Care,0.09027330710308124,BERT,NumberPosts>=10,MIL (mean)
Fairness,0.03709546924922502,BERT,NumberPosts>=10,MIL (mean)
