,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.07367062554799186,0.17903272343593746,0.009468301187657891,0.01
1,Fairness,0.008017390427560334,0.13462440162631395,0.010378861202473373,0.01
2,Loyalty,0.23297489314010567,0.3556514077669666,0.002315007320073152,0.1
3,Authority,0.09952038393397378,0.24582401277225685,0.0054766766032728975,0.01
4,Purity,0.23210826078888813,0.36018495861924293,0.0018327187562169054,0.3
5,Care,0.1000956613479399,0.1877909153941989,0.006970737551377593,0.01
6,Fairness,0.04993456083423131,0.09910371535115248,0.006064466895971777,0.1
7,Loyalty,0.20261465607665818,0.3595252709264415,0.002286399483885978,0.1
8,Authority,0.0843264454274264,0.22943925744717641,0.007073871920799381,0.01
9,Purity,0.24868738057759265,0.33438982065863876,0.002150069417853973,0.3
10,Care,0.07567396390173209,0.1818984030716091,0.001095782832052363,0.99
11,Fairness,0.06220179182011043,0.09680242674000683,0.006659199247623153,0.1
12,Loyalty,0.2631623742440601,0.36039032669758553,0.0020559355636904225,0.1
13,Authority,0.17348120586050364,0.21949053750873304,0.005648874087616548,0.01
14,Purity,0.2693774987419857,0.3549883303001167,0.003025743220782345,0.01
15,Care,0.08610329990127008,0.16764178880448988,0.0012754496501611438,0.99
16,Fairness,0.037272719666390786,0.13875708660356312,0.008720399521881722,0.01
17,Loyalty,0.1516564331200474,0.4023603284913744,0.0017478770354747806,0.1
18,Authority,0.10355490714106164,0.23579919229493518,0.006569351051432677,0.01
19,Purity,0.1706143849873062,0.3787898958032514,0.002382505350499641,0.1
20,Care,0.04393196076003636,0.20540052079243154,0.006149905319564387,0.01
21,Fairness,0.02437711302137935,0.14445224061820783,0.004047830492001294,0.1
22,Loyalty,0.2322066562974514,0.35728809923260396,0.00224921924162715,0.1
23,Authority,0.10294192695405824,0.18587115349710503,0.0015417008573554915,0.99
24,Purity,0.15553870801525305,0.3428935105627047,0.0018527829285525789,0.5
25,Care,0.0955830759179015,0.19453018528172072,0.0012709558146200403,0.7
