,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.04724829103911499,0.12668215390883708,0.0018758521099955002,0.01
1,Fairness,0.025635070574246188,0.11907203738103256,0.0011471013831653957,0.01
2,Loyalty,0.22246797322995548,0.2910034267648761,0.00028036999687413607,0.1
3,Authority,0.0656451409337161,0.22936391861789096,0.0003657827048375508,0.1
4,Purity,0.2208146294069756,0.2988268713430495,0.00034594156026742664,0.3
5,Care,0.0043187749521304,0.18890218467871578,0.00030559745023870803,0.9
6,Fairness,0.004591777991350465,0.12151976128153497,0.000486102236584797,0.99
7,Loyalty,0.14311232596069556,0.32467209800327845,0.00021697715973508877,0.1
8,Authority,0.05749400359852419,0.23288697912995615,0.0003454890271117575,0.1
9,Purity,0.17515819597608007,0.3017994063431053,0.0003564645270162319,0.1
10,Care,0.029552533188901053,0.1927146070064144,0.00044258040707525033,0.1
11,Fairness,0.08175840337436224,0.11591135883323711,0.0009807105431288692,0.01
12,Loyalty,0.19699745237855448,0.30677613025568595,0.00025466014032784535,0.1
13,Authority,0.1314864009551895,0.2138778130021839,0.00035092235649882844,0.1
14,Purity,0.22197099330294368,0.32223496362615744,0.00029372800588175373,0.7
15,Care,0.06726949448227115,0.1594343464453707,0.0006966088468429722,0.1
16,Fairness,-0.018832147314501446,0.16661052447616842,0.0005628769951806252,0.1
17,Loyalty,0.15899711060382404,0.32928381497859394,0.00020664106544710968,0.3
18,Authority,0.10720067196305705,0.21994368067139936,0.00038916588916248834,0.1
19,Purity,0.18161973262036135,0.33200823588457196,0.00023153671669939304,0.3
20,Care,0.06332124897689606,0.11933821205313089,0.0017786833377304047,0.01
21,Fairness,0.08018646373942673,0.10447282587015794,0.0011648506424211398,0.01
22,Loyalty,0.1970943175472647,0.31682105199478006,0.00019657865320926504,0.1
23,Authority,0.11799878109444129,0.21880606218722354,0.0003582904363373366,0.1
24,Purity,0.16495342312640193,0.3223472187289871,0.0002964526301809184,0.3
25,Care,0.0644689327532717,0.12178209714913224,0.0018050720390443123,0.01
26,Fairness,0.04674220898112158,0.12178708449556841,0.0010228362456823296,0.01
27,Loyalty,0.1813241101732781,0.317817519669473,0.00021445135185200632,0.1
28,Authority,0.09497105205914391,0.2366285091688537,0.00030141911876800935,0.1
29,Purity,0.1875449138637194,0.30488257465604507,0.000354119335585824,0.1
30,Care,0.06271900576312295,0.12422873471977502,0.0018203306498859868,0.01
31,Fairness,0.03974893993184725,0.1342486292353403,0.0007676943064698639,0.01
32,Loyalty,0.22103664229657616,0.2966027683328233,0.0002516256402938605,0.1
33,Authority,0.13492806133798974,0.20689780923117707,0.00040248257680804264,0.1
34,Purity,0.21674391199994647,0.3270764387710625,0.00024508436840717853,0.7
35,Care,0.08194032214257474,0.1571633102691895,0.0007014457321270006,0.1
36,Fairness,0.05749666668668674,0.13032303694881486,0.0008786133246019773,0.01
37,Loyalty,0.1433424063927592,0.3320792798864254,0.00022110015341129697,0.5
38,Authority,0.0859170457842463,0.22616054833598742,0.00036760158689937427,0.1
39,Purity,0.1786161939158133,0.30904156422947715,0.00039458006265543694,0.7
40,Care,0.0338428265888997,0.154973042742946,0.0004245651103806331,0.9
41,Fairness,0.03465370339645424,0.125407518776126,0.0009198974862045368,0.01
42,Loyalty,0.24199335160600455,0.2910088423584498,0.00026275903447690077,0.3
43,Authority,0.15118013536546537,0.20819415928163432,0.00037114381513914314,0.1
44,Purity,0.2466373690204241,0.2957536991991273,0.00032146533105680854,0.3
45,Care,0.02519526306056974,0.18676366993741456,0.0004937434750086593,0.1
46,Fairness,0.02642430277842489,0.11946309385884568,0.0007596975987236584,0.3
47,Loyalty,0.13524084130197644,0.3276702504470953,0.0002119160801334779,0.1
48,Authority,0.07145559337137686,0.23988078561081727,0.0003139795431497764,0.1
49,Purity,0.14815672247025236,0.31762273475270464,0.00033071179457862346,0.1
50,Care,0.04410225123232536,0.12686440110694808,0.002021080170294838,0.01
51,Fairness,0.05070871494774387,0.12806388593756224,0.0008687795392884592,0.01
52,Loyalty,0.2136323697756093,0.31295298487186396,0.00021684681344065148,0.3
53,Authority,0.14047106160125267,0.21181239170520783,0.00039720224458663245,0.1
54,Purity,0.20070968901214314,0.30017195649867645,0.0003424772239996716,0.1
55,Care,0.07399051268947399,0.12337353573552479,0.0017871038476946432,0.01
56,Fairness,0.025395997978033047,0.12936504887871403,0.0006248535754640853,0.3
57,Loyalty,0.1552819913789345,0.3190269166047357,0.0002491955641039461,0.1
58,Authority,0.11034375090365411,0.22256710981875027,0.0003592860227679778,0.1
59,Purity,0.14979259903834752,0.3331215331363032,0.00026829034900547287,0.3
60,Care,0.06461232227417024,0.1617343236232468,0.0005221622325820229,0.3
61,Fairness,0.006673260179626439,0.16085028548201652,0.0005453911973317786,0.1
62,Loyalty,0.1777810982422875,0.28935727164786407,0.0003169191188413407,0.1
63,Authority,0.11502113326356678,0.20493476938154254,0.00045210877026682754,0.1
64,Purity,0.17193555346690614,0.32533951768126057,0.00028378070870004144,0.5
65,Care,0.03410825610326751,0.17308457848936476,0.00034613640755671194,0.7
66,Fairness,0.06391582206310653,0.11453023206536828,0.0009137271165387433,0.01
67,Loyalty,0.1072250523625069,0.34995053634205164,0.00016243946348851656,0.3
68,Authority,0.057222321690962974,0.2510544393140739,0.00026621268411238555,0.1
69,Purity,0.17134406671064684,0.33707363060536244,0.00020403784927954457,0.3
70,Care,0.04058184942092058,0.15858464534224037,0.0007218745056706,0.1
71,Fairness,0.03206128406200215,0.12044520151590743,0.0010964805841667342,0.01
72,Loyalty,0.21080837305849498,0.3066598358064153,0.00022960841705959323,0.1
73,Authority,0.11208512304361351,0.2205991328434571,0.000356128930743931,0.1
74,Purity,0.2352298412120949,0.29793608202645994,0.00031297848282899656,0.1
75,Care,0.06129859344894262,0.1612576496534326,0.0005209980417806256,0.3
76,Fairness,0.06670908280323562,0.12101063895503172,0.0008307225280669804,0.01
77,Loyalty,0.15574494464962063,0.31057606903954893,0.00027004102568699756,0.3
78,Authority,0.04254007197955989,0.22639476296500494,0.00041000466658930063,0.1
79,Purity,0.23071333821887752,0.2939256359220237,0.00035625158898948563,0.1
80,Care,0.08125267653816959,0.12326137207534882,0.0016012201564810172,0.01
81,Fairness,0.027783124631440503,0.13719043320020252,0.0008577041988707036,0.01
82,Loyalty,0.23593997687948998,0.3122640700340028,0.00019814027848884228,0.3
83,Authority,0.16839094265714216,0.19957022166073335,0.0004141880663915674,0.1
84,Purity,0.21317262715078478,0.29967197941812473,0.00041764135495406664,0.99
85,Care,0.05625870951709688,0.1285462056113612,0.0017406671397436023,0.01
86,Fairness,-0.0056440258228833695,0.14162911729328553,0.0009037457347722852,0.01
87,Loyalty,0.1800523898772498,0.30722508688206285,0.0002667550905537368,0.5
88,Authority,0.1256004267620504,0.21894734961011464,0.00036220593588052774,0.1
89,Purity,0.181626001932093,0.3194491941298865,0.0002842613721992318,0.3
90,Care,0.05327812504434881,0.1692601428356636,0.0006271831719664193,0.1
91,Fairness,0.04613811869316764,0.13616407455303914,0.0007983238738757998,0.01
92,Loyalty,0.20296146743721677,0.3066742721400332,0.00023885483398496918,0.1
