,foundation,test_r2,train_r2,alpha,l1_ratio
0,Care,0.021590765702644066,0.1824625610850964,0.004537053468226673,0.3
1,Fairness,0.012967691091916977,0.14621155431691812,0.008220884101935198,0.1
2,Loyalty,0.15249739912570637,0.31705048433137073,0.0026743428664492467,0.5
3,Authority,0.09139631461532682,0.2285217741454083,0.007721720786637067,0.1
4,Purity,0.17887038403800148,0.3343690160940992,0.005802581284669403,0.1
5,Care,0.07427991968587877,0.1700626275100745,0.008936688367443577,0.1
6,Fairness,0.04153728687344094,0.11344600482365741,0.010368509607680812,0.1
7,Loyalty,0.16420399251214213,0.31787733650178107,0.010409785402543443,0.01
8,Authority,0.07271804875045518,0.2424062252943624,0.01306718701440201,0.01
9,Purity,0.2055124861335338,0.27957588257329746,0.004048598723704621,0.5
10,Care,0.054631231884970766,0.1849021355343189,0.007822682176775852,0.1
11,Fairness,0.020185194603914658,0.1460903210347353,0.017936010733193154,0.01
12,Loyalty,0.2096156983165295,0.3330246866042864,0.007816299312586147,0.01
13,Authority,0.13178752953988393,0.24275270996539478,0.006175878470463653,0.1
14,Purity,0.22370640434008748,0.30166977823763474,0.0036206019894694666,0.5
15,Care,0.06399455183374336,0.16836782240182846,0.020168534316277208,0.01
16,Fairness,0.010076182396121403,0.144235462665379,0.020050700868891658,0.01
17,Loyalty,0.14138274474898727,0.359187355828699,0.002781814116901937,0.3
18,Authority,0.09474144314594035,0.22970236407696554,0.015070653420543857,0.01
19,Purity,0.16508728190707567,0.3487013812923573,0.005244380729153994,0.1
20,Care,0.06693186571098109,0.1425679249349716,0.011079902301779732,0.1
21,Fairness,0.041572432059014286,0.09924198927047323,0.03216822221814599,0.01
22,Loyalty,0.22576233777319876,0.2898231582939672,0.003974457263885534,0.3
23,Authority,0.13532306769522684,0.1938337141467421,0.020572109774775256,0.01
24,Purity,0.15029275913928197,0.31151328435734305,0.0028659211173237176,0.7
25,Care,0.08272785049325426,0.17922510252501422,0.007944983839140655,0.1
26,Fairness,0.06663086250794403,0.11310703235358155,0.025320876947216124,0.01
27,Loyalty,0.19624068893984048,0.3033941329066232,0.0037101632674605887,0.3
28,Authority,0.10141214395314568,0.23871222372930356,0.006954472680876048,0.1
29,Purity,0.1656616154586077,0.34809660331883674,0.003404627102125735,0.3
30,Care,0.07624831707261659,0.17192244076624996,0.018468574674453828,0.01
31,Fairness,0.03165745552506383,0.12941666953622655,0.023329692580780863,0.01
32,Loyalty,0.20840105512131502,0.29998937076895393,0.001835207164189623,0.99
33,Authority,0.1087615682230243,0.2267213501020947,0.007589689364298165,0.1
34,Purity,0.22472733796053534,0.32379469577505704,0.008743739713613485,0.01
35,Care,0.07379179972382865,0.16059515950753112,0.022242507746831227,0.01
36,Fairness,-0.015118492248911375,0.14269741125940538,0.0029476070897027423,0.5
37,Loyalty,0.12181451010530253,0.32035602722922163,0.003989494364341278,0.3
38,Authority,0.06613851939737414,0.23451887462194443,0.01494033882475769,0.01
39,Purity,0.2055457889936908,0.30910130163114524,0.0033147090127992416,0.5
40,Care,0.06314927050670371,0.16095074324010028,0.009702501802963696,0.1
41,Fairness,0.060737359210434216,0.10290559475905436,0.029577413461190284,0.01
42,Loyalty,0.20254661233971116,0.31486908474273556,0.0033209250919828412,0.3
43,Authority,0.13185824799459678,0.21715487676109158,0.015076203128668534,0.01
44,Purity,0.17289540227696554,0.34079260038235093,0.007941442112625515,0.01
45,Care,0.06721026614550674,0.16759830607344095,0.020167166648264623,0.01
46,Fairness,0.04210399697873213,0.11498950598399227,0.010594558095518703,0.1
47,Loyalty,0.1617311330444655,0.33092885569134123,0.0024421444985277935,0.5
48,Authority,0.11213535217947257,0.2220653023365876,0.0027770259565457014,0.5
49,Purity,0.19724037117555915,0.290499664966533,0.00920827895379474,0.1
50,Care,0.040095131135183926,0.17838981525838504,0.008880060256594716,0.1
51,Fairness,0.033552783485111703,0.07772680051813452,0.003527723884827538,0.7
52,Loyalty,0.23420516539743297,0.293175267408081,0.007217463802020772,0.1
53,Authority,0.14007222361827487,0.21087277680640393,0.004369197688784931,0.3
54,Purity,0.22811440628520374,0.30935294000798474,0.0032399491323593225,0.5
55,Care,0.09636397061563551,0.16010762539050638,0.009063236067872613,0.1
56,Fairness,0.004000760747272181,0.14586943977104327,0.008261657300923169,0.1
57,Loyalty,0.1641412215658159,0.3153032122758638,0.002652937350545391,0.5
58,Authority,0.13175194442701577,0.22179786728664952,0.014423842586433143,0.01
59,Purity,0.18906085811171158,0.3127279818399321,0.0032750311231100615,0.5
60,Care,0.053426831753930704,0.17889551574983453,0.01849527022498904,0.01
61,Fairness,0.007234522207455796,0.1391372595562409,0.021982130549639704,0.01
62,Loyalty,0.21030482217561386,0.3092311677019163,0.0020554999295617975,0.7
63,Authority,0.1384771892732718,0.21073556083830147,0.00799363168234446,0.1
64,Purity,0.20625675227646711,0.315051342393215,0.010264762856908813,0.01
65,Care,0.0734859467741601,0.16115077148385015,0.009302334081559832,0.1
66,Fairness,0.053698190787861755,0.1055949971195318,0.009939167964559507,0.1
67,Loyalty,0.13020907406582682,0.34661170798243335,0.007605065167685987,0.01
68,Authority,0.02847664293717922,0.2688140743928106,0.010405634230000717,0.01
69,Purity,0.11066110236211024,0.3338597266929607,0.006704707940329243,0.1
70,Care,0.07615731287183036,0.16262018686272117,0.020756045775567264,0.01
71,Fairness,0.016253250543639686,0.12033775626182852,0.026238885951529664,0.01
72,Loyalty,0.1823401622497901,0.3380904123987353,0.002986787775954772,0.3
73,Authority,0.10157576203780183,0.23969899184190468,0.006864419426266029,0.1
74,Purity,0.2069309632935188,0.31756505368447663,0.009715255942885529,0.01
75,Care,0.057365350892652045,0.15388058435731,0.010596151299522337,0.1
76,Fairness,0.034059909348299944,0.1252353034367908,0.009401505311007653,0.1
77,Loyalty,0.18315221744177668,0.32924850053176447,0.008940486301361007,0.01
78,Authority,0.06425120975709486,0.23804168696010075,0.014774137179469762,0.01
79,Purity,0.21556875945352116,0.2841599039109075,0.00400510731198214,0.5
80,Care,0.10810547838838791,0.15827504180318752,0.009021261427920615,0.1
81,Fairness,0.024109265819819314,0.11287252534954706,0.029227005961214667,0.01
82,Loyalty,0.1939862177828363,0.31545929622117586,0.009877422542825766,0.01
83,Authority,0.15666060414985206,0.21280668763486033,0.01579772910767849,0.01
84,Purity,0.1881688656573124,0.3239911629470724,0.006310120992981097,0.1
85,Care,0.07306870943906651,0.16158786326109476,0.009952457472579262,0.1
86,Fairness,-0.002449607854060787,0.15309748054815486,0.007833148492530681,0.1
87,Loyalty,0.20854479638573364,0.31275705314768765,0.002511982048850899,0.5
88,Authority,0.146687963168058,0.22158897669765165,0.003746766249349076,0.3
89,Purity,0.1708693915675802,0.3246444694170214,0.0024931734386919647,0.7
90,Care,0.05731767148237088,0.16550585859614875,0.010001150845960113,0.1
91,Fairness,0.01380490537880974,0.11343245112967348,0.003778454254431475,0.5
92,Loyalty,0.1883549870688518,0.33309733230150207,0.0019036786758171696,0.7
93,Authority,0.10832853766553507,0.2327819833577367,0.013754045410964833,0.01
94,Purity,0.15938743939668543,0.35189712964247144,0.005161384118731846,0.1
95,Care,0.06948007481657503,0.19041173010522727,0.007211600668131324,0.1
96,Fairness,0.05437415978695381,0.10749135270961463,0.027108478375309216,0.01
97,Loyalty,0.18212796654230357,0.3187326994292806,0.009794103667524688,0.01
98,Authority,0.10321444127107549,0.23705415499325155,0.012708474806910501,0.01
99,Purity,0.18066122192054945,0.3137553825800493,0.0026888960011886907,0.7
100,Care,0.06033235162586903,0.19715508740707732,0.014379406252117881,0.01
101,Fairness,0.036744523087993364,0.1289564979617308,0.022696887374991235,0.01
102,Loyalty,0.17385876190530825,0.33608667397763403,0.0031712193037656076,0.3
103,Authority,0.09329311286166075,0.2401434981364996,0.012857172034572633,0.01
104,Purity,0.15764328648917592,0.35441734733549013,0.007215643138171748,0.01
105,Care,0.0792181202763117,0.1908301566411298,0.0069996584176348015,0.1
106,Fairness,0.06117866676649675,0.13458023402785668,0.0016668461403767725,0.9
107,Loyalty,0.18422112876390484,0.3305981522356479,0.0082103703182284,0.01
108,Authority,0.07052357883254057,0.22878698528108865,0.004174988558220849,0.3
109,Purity,0.1580981335162438,0.3344468575000299,0.002801617413913594,0.5
110,Care,0.029358551751384132,0.177674122238638,0.01983119370098464,0.01
111,Fairness,0.012186507729327611,0.1458775057222027,0.019837279305465423,0.01
112,Loyalty,0.19669773870382679,0.32357221027847904,0.005474121014704542,0.1
113,Authority,0.1384814620355933,0.22602672103271493,0.003675881494736731,0.3
114,Purity,0.24358194194409133,0.2941690264450165,0.0033468170148537395,0.5
115,Care,0.08112653561804994,0.14218745498191054,0.010899873721675257,0.1
116,Fairness,0.025849885413842477,0.10456122606993512,0.011870410955299095,0.1
117,Loyalty,0.16708276278829326,0.31264435341800856,0.0022093038761085166,0.7
118,Authority,0.09945401157670497,0.23416608890609192,0.007272350500069459,0.1
119,Purity,0.14705411904070165,0.3108507912906727,0.0037557905890421204,0.5
120,Care,0.058131035994425484,0.15370202845828718,0.010867598735403132,0.1
121,Fairness,0.03651803986527824,0.11748920524662632,0.025858867644140537,0.01
122,Loyalty,0.16699263263139563,0.3074301325008265,0.0038551943374158446,0.3
123,Authority,0.10534975058054996,0.23346197007277947,0.013691495495906307,0.01
124,Purity,0.18900269168869077,0.2990048941574036,0.00482385542787956,0.3
125,Care,0.029809817348187773,0.1737877691443901,0.00959772368546397,0.1
126,Fairness,0.047119346793597305,0.10492235303681585,0.031403755788812354,0.01
127,Loyalty,0.16703498622105384,0.3317349441978782,0.0015920638015610876,0.9
128,Authority,0.08252463296771528,0.23965419352422446,0.0015973131335883413,0.99
129,Purity,0.17036733354117906,0.3148239489241931,0.002270229448347237,0.9
130,Care,0.07350066763145136,0.17249389803182047,0.01911827198852453,0.01
131,Fairness,0.011926107156296939,0.14865802009792706,0.019040102203534612,0.01
132,Loyalty,0.17882731123107187,0.3344940076730182,0.0017644166660403852,0.7
133,Authority,0.10509239384750946,0.23454408695199946,0.013265965361811913,0.01
134,Purity,0.18392374959734958,0.3188682495768407,0.0032132913182912753,0.5
135,Care,0.08888467387658472,0.13509585578651018,0.011701905322773633,0.1
136,Fairness,0.025820158576170038,0.1256031919039039,0.009598137665945776,0.1
137,Loyalty,0.1985813417370137,0.3296247360739517,0.00811100764335667,0.01
138,Authority,0.1483159166249547,0.22217652750198724,0.002679487189850557,0.5
139,Purity,0.17842532615721096,0.3091214479940195,0.0028924780600631324,0.7
140,Care,0.052031112535999124,0.17379300905201867,0.019528023227459043,0.01
141,Fairness,0.045824341215718434,0.10423033486025335,0.030665170464891537,0.01
142,Loyalty,0.15743160859607885,0.33902929058526154,0.008222625404556521,0.01
143,Authority,0.1261515215041753,0.2320593619352136,0.006742886718578592,0.1
144,Purity,0.21942337982147853,0.30574161953865364,0.0032825909079918702,0.5
145,Care,0.07387773827966693,0.1604248439711341,0.009586191105453118,0.1
146,Fairness,0.046676211873576734,0.11852972400858564,0.024792362161339985,0.01
147,Loyalty,0.17120004973632708,0.31154342536095236,0.003751598873551773,0.3
148,Authority,0.08875000898028484,0.23458781112010474,0.007711695267147614,0.1
149,Purity,0.1842424786589948,0.3121649794480291,0.007380971987749931,0.1
150,Care,0.07805382703356922,0.18128335627785674,0.015503259936838718,0.01
151,Fairness,0.03251386461251082,0.1531208418284561,0.015255237811620007,0.01
152,Loyalty,0.15477068639568403,0.3277324709061237,0.0015857729418646857,0.99
